Protocol,Length
BJNP,96.56741011142731
UDP,141.55014026165009
ICMP,95.14693659543991
BJNP,95.87409484386444
ICMP,96.05177956819534
TLSv1.3,99.82545948028564
UDP,135.66561180353165
TLSv1.3,97.11365300416946
UDP,103.96394664049149
TLSv1.3,97.39776706695557
ICMP,98.06866151094437
ICMP,126.70580059289932
TLSv1.3,95.80853843688965
ICMP,142.77148830890656
TLSv1.3,96.18877285718918
TLSv1.3,128.19337928295135
TLSv1.3,96.08156913518906
ICMP,96.09497565031052
TLSv1.3,93.91853439807892
TLSv1.3,129.67498070001602
BJNP,98.39447128772736
ICMP,96.61749094724655
BJNP,96.22492688894272
BJNP,100.75440514087677
UDP,96.78424960374832
BJNP,98.17483675479889
BJNP,97.2659524679184
TLSv1.3,98.06561237573624
BJNP,97.40084040164948
BJNP,96.48683792352676
BJNP,98.00154423713684
ICMP,98.42567652463913
TLSv1.3,126.55803853273392
ICMP,95.85328328609467
TLSv1.3,96.61793863773346
TLSv1.3,97.90276193618774
TLSv1.3,101.05360758304596
TLSv1.3,99.1341769695282
TLSv1.3,99.91054487228394
BJNP,99.6361711025238
UDP,137.2059090733528
ICMP,111.1853877902031
TLSv1.3,97.83200263977051
TLSv1.3,101.09425061941147
UDP,118.24990737438202
TLSv1.3,97.10782092809677
ICMP,98.03602850437164
TLSv1.3,96.18515503406525
ICMP,97.22327667474747
ICMP,97.00623148679733
BJNP,128.06584799289703
BJNP,96.1047038435936
UDP,97.41104048490524
TLSv1.2,125.28552067279816
BJNP,100.66674250364304
TLSv1.2,116.37013971805573
ICMP,97.64192777872086
BJNP,97.27001798152924
BJNP,96.82587271928787
TLSv1.3,97.34158796072006
TLSv1.3,97.5757542848587
ICMP,94.73180651664734
TLSv1.3,97.28139173984528
ICMP,121.79905235767365
TLSv1.3,106.49224841594696
ICMP,94.59731787443161
UDP,137.14669293165207
TLSv1.3,95.66519278287888
BJNP,132.1369153857231
UDP,150.57936769723892
UDP,128.5413799881935
TLSv1.3,96.44965541362762
ICMP,95.64297765493393
BJNP,98.18565392494202
ICMP,98.41387927532196
TLSv1.3,98.21119648218155
TLSv1.3,125.69963437318802
TLSv1.3,125.59387052059174
BJNP,96.96465677022934
ICMP,96.33781749010086
TLSv1.3,98.70427310466766
ICMP,137.37045347690582
TLSv1.3,97.88976681232452
ICMP,97.69894176721573
UDP,95.16474741697311
ICMP,99.4805200099945
UDP,148.44740509986877
UDP,106.01188862323761
BJNP,97.61198091506958
TLSv1.3,97.32760065793991
ICMP,95.73030149936676
BJNP,98.30359011888504
ICMP,96.19968682527542
ICMP,136.01581466197968
TLSv1.2,125.90617698431015
TLSv1.3,137.7182121872902
TLSv1.3,117.99096077680588
ICMP,110.86678946018219
TLSv1.3,98.72497576475143
BJNP,97.74235564470291
